time (sec)	X tilt (m/s^2)	Y tilt (m/s^2)	Z tilt (m/s^2)
8.91115	4.50094	-8.09681	-1.02163
8.92115	4.50212	-8.09742	-1.01653
8.93116	4.50332	-8.09804	-1.01144
8.94116	4.50454	-8.09867	-1.00636
8.95116	4.50578	-8.09929	-1.00128
8.96116	4.50704	-8.09991	-0.996199
8.97116	4.50831	-8.10053	-0.991123
8.98116	4.5096	-8.10115	-0.98605
8.99116	4.51092	-8.10177	-0.98098
9.00116	4.51226	-8.10239	-0.975912
9.01117	4.51361	-8.103	-0.970845
9.02117	4.51499	-8.10362	-0.965781
9.03117	4.51639	-8.10423	-0.96072
9.04117	4.51782	-8.10484	-0.95566
9.05117	4.51926	-8.10545	-0.950602
9.06117	4.52074	-8.10605	-0.945547
9.07117	4.52223	-8.10665	-0.940497
9.08117	4.52376	-8.10725	-0.935446
9.09118	4.5253	-8.10784	-0.9304
9.10118	4.52687	-8.10842	-0.925356
9.11118	4.52847	-8.109	-0.920313
9.12118	4.5301	-8.10957	-0.915271
9.13118	4.53175	-8.11014	-0.910231
9.14118	4.53343	-8.1107	-0.905191
9.15118	4.53514	-8.11125	-0.900155
9.16119	4.53687	-8.11179	-0.895121
9.17119	4.53864	-8.11233	-0.890096
9.18119	4.54043	-8.11286	-0.885068
9.19119	4.54225	-8.11338	-0.880038
9.20119	4.5441	-8.11388	-0.875005
9.21119	4.54599	-8.11438	-0.869973
9.22119	4.5479	-8.11486	-0.864946
9.23119	4.54985	-8.11534	-0.859922
9.2412	4.55183	-8.11581	-0.854902
9.2512	4.55384	-8.11627	-0.849887
9.2612	4.55589	-8.11671	-0.844875
9.2712	4.55797	-8.11714	-0.839868
9.2812	4.56008	-8.11756	-0.834866
9.2912	4.56222	-8.11796	-0.829868
9.3012	4.5644	-8.11836	-0.824873
9.3112	4.56661	-8.11874	-0.819886
9.32121	4.56886	-8.1191	-0.814903
9.33121	4.57114	-8.11946	-0.809926
9.34121	4.57345	-8.11979	-0.804955
9.35121	4.57581	-8.12011	-0.79999
9.36121	4.5782	-8.12042	-0.79503
9.37121	4.58062	-8.12071	-0.790076
9.38121	4.58308	-8.12098	-0.78513
9.39121	4.58558	-8.12124	-0.780193
9.40122	4.58811	-8.12148	-0.775264
9.41122	4.59068	-8.1217	-0.770346
9.42122	4.59329	-8.1219	-0.765439
9.43122	4.59593	-8.12209	-0.760543
9.44122	4.59862	-8.12226	-0.755659
9.45122	4.60134	-8.12241	-0.750787
9.46122	4.6041	-8.12254	-0.745928
9.47123	4.6069	-8.12265	-0.741081
9.48123	4.60974	-8.12274	-0.736247
9.49123	4.61261	-8.12281	-0.731428
9.50123	4.61553	-8.12286	-0.726625
9.51123	4.61849	-8.12288	-0.721838
9.52123	4.62148	-8.12289	-0.717068
9.53123	4.62452	-8.12287	-0.712317
