time (sec)	X vibration (m/s^2)	Y vibration (m/s^2)	Z vibration (m/s^2)
1.01	0.108072	-0.0394266	-0.272366
1.019	-0.215062	0.0185994	0.105119
1.03	-0.391171	0.0558148	0.33278
1.039	-0.546262	0.111563	0.446894
1.049	-0.632955	0.139335	0.52455
1.06	-0.595455	0.072509	0.709586
1.069	-0.530599	0.0536551	0.706768
1.08	-0.457874	-0.0379077	0.705981
1.09	-0.325533	-0.0743609	0.768547
1.099	-0.27394	-0.145478	0.833784
1.11	-0.253721	-0.214416	0.664569
1.119	-0.130165	-0.156414	0.599987
1.13	-0.0106841	-0.135673	0.501208
1.14	0.107282	-0.161308	0.224782
1.149	0.193886	-0.196806	-0.115496
1.16	0.342585	-0.197515	-0.430984
1.17	0.368839	-0.0781389	-0.533077
1.179	0.384417	-0.0985415	-0.49046
1.19	0.325268	0.0760389	-0.404061
1.199	0.124949	0.124219	-0.395395
1.21	0.00863087	0.153554	-0.440282
1.219	-0.206874	0.156715	-0.275481
1.23	-0.331593	0.139727	0.120177
1.24	-0.384399	0.0504606	0.0940965
1.249	-0.448074	-0.0375864	0.103759
1.26	-0.323689	-0.06308	0.0666551
1.27	-0.0664736	-0.0432625	-0.0773164
1.279	0.151248	0.0339552	-0.235511
1.289	0.149884	0.0231113	-0.203427
1.3	0.148837	0.0600796	-0.309825
1.31	0.31731	0.0666122	-0.237606
1.32	0.398734	0.131445	-0.19993
1.329	0.349754	0.070343	-0.142464
1.34	0.114459	0.170533	0.00570169
1.35	-0.108351	0.207276	-0.00271572
1.359	-0.101127	0.176045	-0.0772844
1.369	-0.0656945	0.144529	-0.171421
1.379	-0.0776494	0.105111	-0.275643
1.39	-0.222489	0.114791	-0.504894
1.4	-0.295109	0.0748033	-0.321518
1.409	-0.300194	-0.0139267	-0.0504626
1.419	-0.302633	-0.0191793	-0.0439655
1.429	-0.178769	-0.167633	0.212151
1.439	-0.0262154	-0.215574	0.442842
1.45	0.0841414	-0.281793	0.52065
1.46	0.129784	-0.255195	0.552118
1.47	0.1418	-0.227881	0.422015
1.479	0.109009	-0.191254	0.24491
1.49	0.132901	-0.129249	0.195107
1.5	0.207901	-0.152097	0.185109
1.509	0.340994	-0.195391	0.139218
1.52	0.451398	-0.156086	0.230048
1.529	0.43857	-0.133417	0.310229
1.54	0.245548	-0.05122	0.169255
1.55	0.0904604	-0.00705152	0.057037
1.559	0.0110154	0.0635795	-0.101123
1.569	0.0262344	0.0485714	-0.0783936
1.579	-0.00783842	0.108588	-0.0559957
1.589	-0.0178179	0.0767267	-0.179154
1.6	-0.0491462	0.0630751	-0.0641286
1.61	-0.154113	0.0703168	-0.0466832
1.619	-0.217162	0.0971471	-0.230401
1.63	-0.261679	0.114176	-0.23375
1.639	-0.247057	0.131534	-0.256779
1.649	-0.186385	0.167408	-0.108412
1.66	-0.17838	0.142054	-0.144947
1.669	-0.16881	0.0998484	-0.221266
1.68	-0.171489	0.133431	-0.240074
1.69	-0.19199	0.197444	-0.421641
1.698	-0.166465	0.196705	-0.412812
1.71	-0.0746221	0.159355	-0.413382
1.72	0.00584817	0.142443	-0.376286
1.729	0.0461222	0.0812293	-0.217495
1.74	0.199459	-0.0547604	0.0458052
1.749	0.208037	-0.13051	0.238886
1.76	0.253146	-0.120692	0.221519
1.77	0.249747	-0.154689	0.267202
1.779	0.178028	-0.176158	0.309456
1.79	-0.02076	-0.138	0.424868
1.8	-0.134695	-0.0986098	0.463319
1.809	-0.193817	-0.0305327	0.530076
1.819	-0.185469	-0.00725605	0.519595
1.829	-0.126964	-0.0933994	0.449886
1.84	-0.0504051	-0.0847911	0.199997
1.849	-0.00609308	-0.0191496	0.141031
1.86	-0.0441157	0.0129426	-0.0444511
1.869	-0.100815	0.101795	-0.258487
1.88	-0.192494	0.164122	-0.43521
1.889	-0.223856	0.206692	-0.525399
1.9	-0.184175	0.238347	-0.585214
1.909	-0.0928061	0.296068	-0.613882
1.919	-0.0420261	0.241965	-0.557936
1.929	-0.0646703	0.252762	-0.404488
1.94	-0.107489	0.104663	-0.194301
1.949	-0.0615157	0.129784	-0.196953
1.96	-0.0335719	0.23571	-0.0432201
1.97	0.0203507	0.218404	0.216162
1.98	0.0852714	0.0511967	0.340661
1.989	0.0150802	-0.096627	0.272441
2	0.0945918	-0.193845	0.0443556
2.009	0.355892	-0.149857	-0.00695082
2.02	0.744305	-0.351691	0.0250525
2.03	0.813098	-0.338319	0.027092
2.039	0.652326	-0.175561	-0.161492
2.049	0.566795	-0.0761116	-0.030686
2.059	0.686958	-0.20875	0.210155
2.069	0.827786	-0.227368	0.230001
2.079	0.451574	-0.428205	0.263827
2.089	-0.383787	-0.554878	0.374599
2.1	-0.381251	0.0546697	0.308341
2.109	-0.106129	0.00622167	0.0608509
2.119	0.363059	-0.176415	0.90144
2.13	0.578012	-0.46466	0.453316
2.139	0.427149	-0.444552	-0.208466
2.15	0.218826	-0.169563	-0.668328
2.16	-0.0623475	0.101343	-0.844585
2.169	-0.0200395	0.257435	-0.407074
2.18	0.237891	0.117265	0.39024
2.19	0.360536	-0.12551	0.942923
2.199	0.513826	-0.213356	1.05685
2.209	0.382218	-0.345323	1.18092
2.219	0.328448	-0.499488	1.10098
2.23	-0.127479	-0.766783	0.518641
2.239	-0.864588	-0.260275	-0.599221
2.25	-1.24238	0.375436	-1.26039
2.26	-1.90044	0.708192	-1.0836
2.269	-1.65157	0.968	-0.437781
2.28	-1.21861	0.793113	-0.0389453
2.29	-1.17029	0.823559	0.247489
2.299	-1.2866	0.686249	0.343901
2.31	-0.819746	-0.187088	0.149157
2.32	-0.598034	-0.395365	-0.01999
2.329	-0.582565	-0.466914	0.0877337
2.34	-0.409684	-0.175032	-0.156723
2.349	-0.0653338	0.0332775	-0.16674
2.359	0.221289	0.0155317	-0.225754
2.369	0.284509	-0.00371539	-0.467165
2.38	0.562982	0.0323136	-0.998322
2.39	0.945926	0.0769123	-1.21222
2.399	1.08572	0.156186	-1.40256
2.41	1.17382	0.422412	-1.19259
2.42	0.99143	0.529018	-0.601818
2.429	0.686473	0.493215	-0.0379382
2.44	0.426474	0.356911	0.78013
2.449	0.380866	0.324012	0.885743
2.459	0.0979668	0.0456613	1.461
2.47	-0.0355798	-0.269434	1.6283
2.48	-0.0355275	-0.344844	1.37338
2.489	-0.0293296	-0.217648	1.15162
2.5	0.0980465	-0.203182	0.749565
2.51	0.287855	-0.255094	0.252368
2.519	0.424481	-0.398561	-0.208922
2.53	0.283122	-0.454413	-0.50153
2.54	0.146039	-0.279911	-0.694399
2.55	0.0856755	-0.163246	-0.71428
2.56	-0.0106425	-0.158359	-0.582124
2.569	-0.105981	-0.117456	-0.541916
2.58	-0.556829	0.0940734	-0.471617
2.589	-0.583947	0.0542715	-0.344375
2.6	-0.868544	0.339085	-0.0746973
2.611	-0.981806	0.294148	0.0487136
2.62	-0.927975	0.278601	0.346453
2.629	-0.641005	0.145388	0.386629
2.64	-0.170141	-0.123679	0.280547
2.65	0.017793	-0.187057	0.155922
2.659	0.15379	-0.205869	0.0683197
2.67	0.283821	-0.171499	0.0146381
2.679	0.322133	-0.13756	0.0953253
2.689	0.463395	-0.235886	0.128006
2.699	0.406587	-0.303431	0.262788
2.709	0.506072	-0.335621	0.220176
2.719	0.635171	-0.339584	0.248119
2.73	0.776982	-0.340999	0.204761
2.74	0.685928	-0.362239	0.040132
2.75	0.314971	-0.189936	0.0453626
2.76	0.266908	0.118617	0.116367
2.769	0.232145	0.430922	0.255788
2.78	0.0991255	0.4078	0.255396
2.79	-0.423695	0.425061	-0.00846976
2.799	-0.857432	0.380367	-0.510441
2.81	-1.09999	0.307997	-1.03923
2.819	-1.07752	0.270107	-1.40174
2.83	-0.922022	0.185575	-1.4485
2.84	-1.02345	0.163398	-1.33758
2.85	-0.67902	-0.0398844	-1.23338
2.859	-0.340499	0.0393956	0.574901
2.869	-0.127957	0.0917026	1.38443
2.88	0.177292	0.243982	0.875368
2.889	0.393428	0.770112	0.787422
2.9	0.415575	0.821334	1.2563
2.91	0.542858	0.056001	1.05802
2.919	0.597437	-0.119624	0.784643
2.93	0.55575	-0.184812	0.226729
2.94	0.526008	-0.0783976	-0.316375
2.949	0.430733	-0.0514179	-0.258133
2.959	0.43583	-0.205733	-0.485436
2.969	0.516233	-0.202577	-0.409418
2.98	0.522171	-0.114459	0.0247432
2.99	0.522499	-0.163636	0.404793
3	0.475316	-0.283462	0.255123
3.009	0.409993	-0.273834	-0.0467511
3.02	0.327743	-0.163319	-0.471553
3.029	-0.0458797	-0.114908	-0.739596
3.039	-0.458062	0.0516231	-0.910629
3.05	-0.753668	0.174982	-0.937471
3.059	-0.839132	0.253207	-0.782139
3.07	-0.70394	0.314093	-0.617599
3.08	-0.443345	0.210649	-0.191224
3.089	-0.521935	0.222662	-0.176506
3.1	-0.258849	-0.238548	0.153661
3.109	-0.295311	-0.344884	0.218798
3.12	-0.258264	-0.400297	0.507673
3.13	-0.115087	-0.357072	0.65929
3.139	0.100142	-0.381077	0.719371
3.15	0.282791	-0.3764	0.573502
3.16	0.279241	-0.368243	0.382727
3.169	0.223631	-0.330942	0.054702
3.18	0.123801	-0.208556	-0.417748
3.19	0.0657717	-0.207088	-0.691028
3.199	0.0169386	-0.205258	-0.724403
3.21	-0.079673	-0.173458	-0.621492
3.22	-0.180673	-0.0668917	-0.196877
3.229	0.0514987	0.184241	0.0228894
3.24	0.718205	0.585732	0.271111
3.25	0.958159	0.785886	0.108212
3.259	1.07945	0.673137	0.235463
3.27	1.02371	0.490487	0.216123
3.279	0.856419	0.45732	0.321714
3.289	0.578609	0.259939	0.27792
3.3	0.493417	0.0863065	0.377793
3.309	0.378781	0.060801	0.531657
3.319	0.31434	0.072488	0.584303
3.329	-0.00272429	0.0443806	0.489835
3.339	-0.665899	-0.105048	0.263021
3.349	-0.822018	-0.193547	1.22083
3.36	-0.873173	-0.00894279	0.932809
3.369	-1.18875	0.403565	0.939908
3.379	-1.01042	0.273444	0.793463
3.389	-0.857585	-0.195539	0.640469
3.4	-1.275	-0.494597	0.527691
3.41	-1.10161	-0.679555	-0.281682
3.419	-1.01292	-0.133243	-0.700041
3.43	-0.891605	-0.0694521	-0.861032
3.439	-0.838282	-0.19035	-1.02916
3.45	-0.690527	-0.223494	-1.18779
3.46	-0.850073	-0.199814	-1.15293
3.47	-0.509121	-0.0416678	-1.16775
3.48	-0.0228218	0.172499	-0.856625
3.489	0.263618	0.156511	-0.918748
3.5	0.403148	-0.0576537	-0.178234
3.509	0.727216	-0.184489	0.22828
3.52	0.966606	0.00379651	0.31712
3.53	1.34861	0.161031	0.295773
3.539	1.39537	0.241593	-0.0183902
3.55	0.677023	0.299391	-0.404209
3.56	0.348715	0.0144663	-0.380842
3.569	0.155475	0.0133516	-0.421274
3.58	-0.0658623	-0.155655	-0.116188
3.59	-0.283805	-0.371905	0.183241
3.599	-0.404385	-0.516096	0.385567
3.61	-0.408114	-0.302605	0.736449
3.62	-0.517337	-0.0675671	0.808481
3.629	-0.511129	0.0648197	0.711484
3.64	-0.301848	0.101873	0.401602
3.65	0.114769	0.190911	0.056682
3.659	0.6533	0.369933	-0.302912
3.67	1.07002	0.503923	-0.672648
3.68	1.42356	0.405261	-0.766722
3.689	1.42265	0.39411	-0.871817
3.7	1.33461	0.298062	-0.862435
3.709	0.324638	0.149375	-0.3513
3.72	0.406823	-0.306868	-0.494278
3.73	0.440175	-0.395635	-0.535351
3.739	0.272539	-0.327072	-0.270458
3.75	0.0831578	-0.268373	-0.119395
3.76	-0.085626	-0.240166	0.253051
3.769	-0.0501354	-0.242888	0.563377
3.78	0.0823358	-0.2009	0.830082
3.79	0.130198	-0.119638	1.17402
3.799	0.207808	-0.146539	1.08753
3.809	0.228736	-0.106123	1.05898
3.82	0.199697	-0.136247	0.837567
3.828	0.294493	-0.360237	0.424273
3.84	0.20014	-0.513831	-0.0844947
3.85	-0.444125	-0.379561	-0.393823
3.859	-0.819316	-0.0554561	-0.58416
3.869	-1.17679	0.119816	-0.472493
3.879	-1.33453	0.273893	-0.528171
3.889	-1.3606	0.581329	-0.308193
3.9	-1.04397	0.725668	-0.204626
3.908	-0.974259	0.708824	-0.217284
3.92	-0.544982	0.795418	-0.0167295
3.93	-0.226134	0.5518	0.037224
3.94	0.00335288	0.199499	0.0801601
3.949	-0.0121596	-0.101887	0.176668
3.96	-0.113101	-0.215855	0.252694
3.97	-0.0127059	-0.138291	0.272276
3.979	0.269956	0.0466493	0.469235
3.99	0.745565	0.0437136	0.654606
4	0.65693	0.042124	0.950885
4.009	0.425089	0.0535054	1.09587
4.02	0.398517	-0.0949491	0.939577
4.028	0.421004	-0.10641	0.962342
4.039	0.591682	-0.286003	0.703592
4.049	0.621227	-0.231706	0.462379
4.06	0.349003	-0.235918	0.0330694
4.07	-0.102477	-0.227561	-0.522245
4.079	-0.379223	-0.36193	-1.06492
4.09	-0.566346	-0.684694	-1.44334
4.099	-0.594907	-0.541633	-1.64529
4.11	-0.188848	0.00577208	-1.57136
4.119	0.402459	0.279034	-1.27587
4.13	0.920321	0.164085	-1.14807
4.14	1.03961	-0.0746121	-0.893015
4.149	0.659007	-0.157046	-0.604709
4.159	-0.42993	-0.0965116	-0.354332
4.169	-0.413564	-0.120285	-0.316805
4.18	-0.394731	-0.00843654	0.571377
4.189	-0.403222	-0.123908	0.782774
4.2	-0.48202	0.104743	1.05046
4.21	-0.61692	0.141198	1.2207
4.219	-0.643184	0.194696	1.33641
4.23	-0.534608	0.358152	1.28347
4.24	-0.37833	0.402979	0.903291
4.249	-0.24582	0.291403	0.681097
4.26	-0.273323	0.295395	0.381316
4.27	-0.234566	0.264201	-0.193294
4.279	-0.272245	0.25251	-0.239191
4.29	-0.333152	0.189601	-0.680385
4.299	-0.279211	0.0991246	-1.09994
4.31	0.0886624	-0.0264574	-0.583999
4.32	0.282942	0.169485	-0.384884
4.329	0.43746	-0.0365062	-0.557831
4.34	0.450689	-0.218512	-0.763071
4.35	0.269514	-0.218886	-0.845612
4.359	0.235744	-0.293269	-0.976995
4.369	0.0754378	-0.307964	-0.796986
4.379	-0.258129	-0.178265	-0.498399
4.389	-0.277923	-0.161485	-0.488972
4.399	-0.138878	-0.0167654	-0.224068
4.409	0.309136	0.0592549	0.103568
4.419	0.729403	-0.0370372	0.295533
4.43	0.885632	-0.0993356	0.60956
4.44	0.892542	-0.176835	1.05747
4.449	0.824215	-0.0476422	1.34915
4.46	0.845147	0.137014	1.50598
4.47	0.775864	0.324984	1.47692
4.479	0.621617	0.331963	1.15551
4.49	0.016113	0.293956	0.528607
4.5	-0.157219	0.265368	0.242836
4.509	-0.162286	0.158891	0.195381
4.52	-0.470213	-0.0524236	0.023902
4.53	-0.60721	-0.00785069	-0.191854
4.539	-0.609011	0.0236306	-0.104286
4.55	-0.711259	0.187156	-0.174278
4.56	-0.719561	0.135843	-0.0605166
4.57	-0.586549	-0.0289799	0.105462
4.579	-0.439226	-0.185026	0.380605
4.59	-0.321132	-0.10989	0.776987
4.598	-0.364841	0.117675	0.69763
4.61	-0.288941	0.055875	0.55874
4.62	-0.347448	0.108071	0.102827
4.629	-0.476198	0.112748	-0.168118
4.64	-0.604151	-0.0506552	-0.411234
4.65	-0.559502	-0.17209	-1.10038
4.659	-0.597697	-0.150077	-1.02719
4.67	-0.392851	-0.385036	-1.13092
4.679	0.0792909	-0.379639	-1.24148
4.69	0.526854	-0.295243	-1.27088
4.7	0.69362	-0.12735	-1.16483
4.709	0.525086	-0.00504291	-0.828914
4.72	0.346631	0.0287752	-0.247514
4.73	0.489371	-0.0477627	0.0617129
4.739	0.512437	-0.115963	0.23818
4.75	0.523608	-0.176498	0.093348
4.76	0.519637	-0.221163	-0.0468316
4.769	0.489887	-0.240234	-0.087243
